ip,date,method,path,status_code,body_bytes_sent,http_referer,ua,host,exec_time
195.54.160.123,23/May/2020:11:09:27 +0000,GET,/solr/admin/info/system?wt=json,401,590,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36",159.89.237.112,0.000
195.54.160.123,23/May/2020:11:10:42 +0000,GET,/?a=fetch&content=<php>die(@md5(HelloThinkCMF))</php>,401,590,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36",159.89.237.112,0.000
195.54.160.123,23/May/2020:11:10:44 +0000,GET,/?XDEBUG_SESSION_START=phpstorm,401,590,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36",159.89.237.112,0.000
195.54.160.123,23/May/2020:11:13:22 +0000,GET,/index.php?s=/Index/\x5Cthink\x5Capp/invokefunction&function=call_user_func_array&vars[0]=md5&vars[1][]=HelloThinkPHP,401,590,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36",159.89.237.112,0.000
93.171.154.248,23/May/2020:11:13:48 +0000,GET,/admin/,401,590,-,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36",159.89.237.112,0.000
93.171.154.248,23/May/2020:11:13:50 +0000,GET,/admin/,302,0,-,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36",159.89.237.112,0.954
93.171.154.248,23/May/2020:11:13:51 +0000,GET,/admin/login/?next=/admin/,200,775,-,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36",159.89.237.112,1.153
93.171.154.248,23/May/2020:11:13:52 +0000,GET,/favicon.ico,401,590,http://159.89.237.112/admin/login/?next=/admin/,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36",159.89.237.112,0.000
93.171.154.248,23/May/2020:11:13:54 +0000,GET,/favicon.ico,404,102,http://159.89.237.112/admin/login/?next=/admin/,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36",159.89.237.112,1.558
93.171.154.248,23/May/2020:11:13:58 +0000,POST,/admin/login/?next=/admin/,302,0,http://159.89.237.112/admin/login/?next=/admin/,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36",159.89.237.112,1.826
